Team,Played,Win,Draw,Lost,GF,GA,GD,Points,Predictions,Final points
Arsenal,26,20,3,3,59,25,34,63,30,93
Manchester City,26,18,4,4,66,25,41,58,32,90
Manchester Utd,25,15,4,6,41,35,6,49,26,75
Tottenham,26,14,3,9,46,36,10,45,24,69
Liverpool,25,12,6,7,47,28,19,42,31,73
Newcastle Utd,24,10,11,3,35,17,18,41,29,70
Fulham,26,11,6,9,38,34,4,39,22,61
Brighton,23,11,5,7,43,29,14,38,30,68
Brentford,24,9,11,4,40,32,8,38,19,57
Chelsea,25,9,7,9,24,25,-1,34,19,53
Aston Villa,25,10,4,11,31,38,-7,34,10,44
Crystal Palace,25,6,9,10,21,32,-11,27,15,42
Wolverhampton,26,7,6,13,19,35,-16,27,11,38
Nottm Forest,25,6,8,11,20,44,-24,26,4,30
Leicester City,25,7,3,15,36,43,-7,24,11,35
West Ham Utd,25,6,5,14,23,33,-10,23,10,33
Leeds Utd,25,5,7,13,29,40,-11,22,10,32
Everton,26,5,7,14,19,38,-19,22,8,30
Southampton,25,6,3,16,20,41,-21,21,7,28
Bournemouth,25,5,6,14,24,51,-27,21,11,32
